Site SKU,Master code,Name,Site price (incl),Master retail (incl),Delta (master - site)
MMR-12371044,MMR-12371044,Mastodon Chevrolet Performance Hydraulic Flat Tappet Lifters,9605.33,9609.99,+4.66
MMR-F351C,MMR-F351C,Mastodon Ford HEI 351C,5814.63,5809.99,-4.64
302-100,302-100,Ford Windsor Racing Stamped Steel Valve Covers SA,4494.61,4489.99,-4.62
MMR-9193,MMR-9193,Mastodon Radiator Only,5545.37,5549.99,+4.62
MMR-58002,MMR-58002,Mastodon SBC 80-85 Oil Pan Gasket 1 Piece Rubber,735.39,739.99,+4.60
MMR-45012,MMR-45012,Mastodon Steering Shaft U-Joint,735.39,739.99,+4.60
MMR-25182-CR,MMR-25182-CR,Mastodon Sanden 508 Clutch Pulley Cover,735.39,739.99,+4.60
MMR-MC-026-C,MMR-MC-026-C,Mastodon Brake Master Cylinder Oval Alumni Chr,2325.43,2329.99,+4.56
MMR-6507,MMR-6507,AOD Ford Selector Shaft Seal,34.52,29.99,-4.53
MMR-39018-BK,MMR-39018-BK,Mastodon SBF Stainless Engine Oil Dipstick BK,615.47,619.99,+4.52
MMR-3252701-BK,MMR-3252701-BK,"Mastodon Performer Intake Manifold EPS, SBC,BLOCK",7555.48,7559.99,+4.51
MMR-293,MMR-293,Mastodon Timing Chain Set HD Double Roller SBC,1045.48,1049.99,+4.51
MMR-191,MMR-191,"Mastodon Power Steering Pump Pulley, GN, 2 Groove",1045.48,1049.99,+4.51
AND SHIFT-2,AND SHIFT-2,Quicksilver Shifter,9924.49,9919.99,-4.50
MMR-58025,MMR-58025,"Mastodon Engine Oil Pan Gasket, Chevy Ls Ls1,2,3",464.47,459.99,-4.48
MMR-09051,MMR-09051,Mastodon Air Cleaner Spacers 2″ Silver,464.46,459.99,-4.47
KD-1610,KD-1610,Kyostar Radiator Cap – Aluminum,204.45,199.99,-4.46
MMR-39032,MMR-39032,Chevy LS SS Flexible Oil Dipstick,574.44,569.99,-4.45
MMR-8360,MMR-8360,Mastodon Pro-Billet Ready To Run Distributor – Internal Modu,4254.43,4249.99,-4.44
MJE013-C,MJE013-C,Engine Camshaft for 09- 18 Challenger Charger,8305.55,8309.99,+4.44
MMR-CA-5864,MMR-CA-5864,Mastodon Tubular Control Arm Kit GM 58-64 Full Size Cars,15635.57,15639.99,+4.42
MMR-32010,MMR-32010,Mastodon Polished Water Neck 90 Deg Swivel SBC/BBC,385.60,389.99,+4.39
MMR-32022,MMR-32022,Mastodon Chevy Ls Polished Alum Straight Up Water,355.61,359.99,+4.38
302-135,302-135,Ford Racing Slant Edge Valve Covers Black Crinkle,10504.36,10499.99,-4.37
MMR-25048,MMR-25048,Mastodon LS Rocker Arms Trunnion Kit for Chevy,3235.62,3239.99,+4.37
MMR-91611285-BK,MMR-91611285-BK,"Mastodon Intake Manifold,SBC, Aluminum BLACK",9044.36,9039.99,-4.37
MMR-10053,MMR-10053,"Mastodon H Groove Lock and Key Set for Camaro, Che",915.63,919.99,+4.36
MMR-121804-B,MMR-121804-B,Mastodon Horn Button Polished 9 Hole,725.64,729.99,+4.35
MMR-1108,MMR-1108,Mastodon SBC Dual Plane Aluminum Intake Manifold,4454.33,4449.99,-4.34
MMR-75022,MMR-75022,Mastodon Valve Covers SBC,3715.65,3719.99,+4.34
MMR-FO-036,MMR-FO-036,Mastodon Coyote 5.0l Exhaust Manifold – Stainless Steel,11425.66,11429.99,+4.33
MMR-20051-R,MMR-20051-R,"Mastodon Air Cleaner, Super Flow with Raised Top",1664.30,1659.99,-4.31
MMR-13091,MMR-13091,Outside door handles 1932-1934 Ford (Pair) Chrome Mastodon,1194.30,1189.99,-4.31
MMR-45006,MMR-45006,Round 3/4″ Steering Shaft Support Heim Joint Mastodon,455.70,459.99,+4.29
BC307J10,BC307J10,Enginetech Main Bearings 351 Windsor,984.27,979.99,-4.28
EDL-1711,EDL-1711,Edelbrock Victor Series Racing Fuel Pump SBF,2954.26,2949.99,-4.27
MMR-WP-SBC-LA,MMR-WP-SBC-LA,Mastodon Aluminium SBC Long Water Pump,3684.26,3679.99,-4.27
BC306J10,BC306J10,Enginetech Ford 351 Windsor Main bearings,984.25,979.99,-4.26
BC306J20,BC306J20,Enginetech Ford 351 Windsor Main bearings,984.25,979.99,-4.26
BC306J40,BC306J40,Enginetech Ford 351 Windsor Main bearings,984.25,979.99,-4.26
BC306J30,BC306J30,Enginetech Ford 351 Windsor Main bearings,984.25,979.99,-4.26
MMR-11145,MMR-11145,Fuel Pump Block Off Plate Gasket SBC (Pair) Mastodon,175.73,179.99,+4.26
MMR-11137,MMR-11137,Mastodon Valve Cover Spreader Bars,175.73,179.99,+4.26
SUM-1457800,SUM-1457800,Chromoly Pushrods,3525.73,3529.99,+4.26
MMR-3403-CR,MMR-3403-CR,"Mastodon T-Style Billet Steering Wheel 14×2″, Black Leather",3654.24,3649.99,-4.25
ARP 200-2802,ARP 200-2802,ARP High Performance Flexplate Bolt Kit,1885.75,1889.99,+4.24
MMR-32010-BK,MMR-32010-BK,"Mastodon Water Neck, SBC BBC",425.75,429.99,+4.24
MMR-32016,MMR-32016,Mastodon Thermostat Housing Water Neck,425.75,429.99,+4.24
MMR-065,MMR-065,Mastodon H.E.I. Distributor High Performance Ignite,284.23,279.99,-4.24
MMR-32024-B,MMR-32024-B,"Mastodon Thermostat, 160 Degree, GM LS2, LS3, LS7 ( 2004-08)",265.77,269.99,+4.22
BB123J25,BB123J25,Enginetech Rod Bearing Chrysler / Jeep 3.7L,545.79,549.99,+4.20
BC293JSTD,BC293JSTD,Enginetech Ford 351C Main Bearing (Standard),775.79,779.99,+4.20
SI-AT82001,SI-AT82001,68-74 Nova Tubular Control Front Arm Set For Chevy,10334.19,10329.99,-4.20
MMR-5840-SI,MMR-5840-SI,Mastodon Main Bearing Set – Mopar 5.7L HEMI,1284.17,1279.99,-4.18
MMR-PS-315,MMR-PS-315,"Mastodon Park Distance Kit, LED Display",1284.17,1279.99,-4.18
MMR-43017,MMR-43017,Mastodon Transmission Mount Chevy Polyurethane,875.82,879.99,+4.17
MMR-1112-BK,MMR-1112-BK,Mastodon 600 CFM Vacuum Secondary Carb SA,6894.15,6889.99,-4.16
C350LM-24,C350LM-24,EngineTech oil pan gasket GM CHEV 5.7L 350 UMB VSS,2695.85,2699.99,+4.14
ARP 134-6003,ARP 134-6003,ARP Connecting Rod Bolt Kits,3374.12,3369.99,-4.13
MMR-38019-R,MMR-38019-R,Mastodon Chevy LS spark plug wires,775.87,779.99,+4.12
MM6GSETESPBL-CG-GPS,MM6GSETESPBL-CG-GPS,"6 Gauge Set Classic, Blue Dial with White needle",6834.11,6829.99,-4.12
MM6GSETESPR-CG-GPS,MM6GSETESPR-CG-GPS,"6 Gauge Set Classic, Red Dial with White Needle",6834.11,6829.99,-4.12
MMR-45033,MMR-45033,"Mastodon Steering Coupler Rag Joint, Power & Manual",774.10,769.99,-4.11
MMR-45034,MMR-45034,"Mastodon Steering Coupler Rag Joint, GM Manual & P",774.10,769.99,-4.11
MMR-3045BK,MMR-3045BK,Mastodon Billet Distributor Cap V8,315.89,319.99,+4.10
MMR-39023-C,MMR-39023-C,Mastodon Engine Oil Tube Dipstick SBF 260-351W Chr,285.94,289.99,+4.05
MMR-39020-BL,MMR-39020-BL,Mastodon Engine Oil Dipstick Tube SBC 283-400 – Black,285.94,289.99,+4.05
MMR-39023-BL,MMR-39023-BL,Mastodon Engine Oil Tube & Dipstick SBF 260-351W,285.94,289.99,+4.05
EP68HV,EP68HV,Enginetech Ford Engine Oil Pump High Volume,1275.95,1279.99,+4.04
MMR-26085,MMR-26085,"Mastodon Tail Light and Side Fender Kit, 73-79 Ford F150",1315.96,1319.99,+4.03
MMR-32010-C,MMR-32010-C,Mastodon 90 Degree Swivel Water Neck Polished Alum,414.02,409.99,-4.03
